job_id,design_index,family_index,constraint,k,t,n_low,n,nfa_states,unrolled_states,seed,dataset,structural_cell_index,replicate_index,base_instance_id,multi_token_keyword_count,compiled_constraint_sha256,job_sha256
030_coauthor_repeat_after_k_k1_t3,30,0,repeat_after_k,1,3,2,65,6,439,407670367,coauthor,30,0,coauthor:creative:67e2ebb79ef7428db8828883d135c55f,0,7ba6f396fbee881d5dafd964f78530a4082b07058336b6bc3ed9404824c41637,843c0759eb17b09dd5054ab93a5d2fa5e29555e3071ae16738babd7d94943f01
031_coauthor_repeat_after_k_k2_t3,31,1,repeat_after_k,2,3,2,65,9,618,1617572021,coauthor,31,0,coauthor:creative:93743bc8b6f94308881cff7cf90ad421,0,342883bf01a4a4cd8da5ce4ea389a43a5364cedd9ee4c640e251589cbb417d3d,604e63779b12949065e6ce4b570ea353596f749dec7eca377f39e00c48cc6b38
032_coauthor_repeat_after_k_k3_t3,32,2,repeat_after_k,3,3,2,65,12,791,118994828,coauthor,32,0,coauthor:creative:1187a14aa85d4c568e31d968b2aeadbd,0,54b7aaddf9b46dd157291968a0b914fd6f80ea2a78c39460496d1dc9b04b443f,86f0cbdf0dbbb1f577dd8c1c3e0f6cda33675372661d9a62918c8cc786667808
033_coauthor_repeat_after_k_k4_t3,33,3,repeat_after_k,4,3,2,65,15,958,852901307,coauthor,33,0,coauthor:creative:cfec8b365d874b18a765ce4afd83b125,0,f8732de7987510f35eeed15aa7af49463d0ded41c80457ad7cd44ddfa1d2bfad,3ca0f7ba5ed4bd929894827e8161756f17d407c5ec1a62b935567816d0931860
034_coauthor_repeat_after_k_k5_t3,34,4,repeat_after_k,5,3,2,65,18,1119,395872130,coauthor,34,0,coauthor:creative:fbd1b7a3b81f4efc88b0605de907aea3,0,b77f23ce2cf48678ac2418d5fce7f1786b9acd49a832050c45700ee383139209,8967e26d3b788771f7f6327ad26e9e75a3dd1eb190161b7a715a7559230ff0ef
035_coauthor_repeat_after_k_k6_t3,35,5,repeat_after_k,6,3,2,65,21,1274,679877385,coauthor,35,0,coauthor:creative:946720ae11b5468e858df027906f1063,0,a0a77e3ec2ac387e7cddc56694113b3734e791996e5fb2853d9cb8d43226db0b,917db1b5c4aff36cd2a21fb38708b38a70df2571d74759aedd0fb4a2f1cb78f4
036_coauthor_repeat_after_k_k7_t3,36,6,repeat_after_k,7,3,2,65,24,1423,865313054,coauthor,36,0,coauthor:creative:153d73ea68dc4323af5341ce6c51ea73,0,b5023de4be08474e89537aa94d694e7537e1ff89663cb4de226586075655ee78,c2286fa6a44802ce6e862b2b13730c734a74219820e968433e9592329642efc2
037_coauthor_repeat_after_k_k8_t3,37,7,repeat_after_k,8,3,2,65,27,1566,811916070,coauthor,37,0,coauthor:creative:e4de659d6e5a44eca6c88b18dc300d70,0,1ae0e3fbe7b9138159a6221394fee0f11cda438094bbb3f6d6f9d78054c8b4af,997bc8b6cebc47dd148f0d5725f557f7dbea59fce8672493474f0c41da254b85
038_coauthor_repeat_after_k_k9_t3,38,8,repeat_after_k,9,3,2,65,30,1703,2111128116,coauthor,38,0,coauthor:creative:cbbfa156a608439c999233f7b05b9821,0,34a3d4abdf1a3a42fa277e38bae5df50fc98e89e72e39c489bb51dd31e876675,14b5494c8bf551972cfe38ae0dcf2a94355cc9ed502032e624b78f01a9cf0dd0
039_coauthor_repeat_after_k_k10_t3,39,9,repeat_after_k,10,3,2,65,33,1834,1838216032,coauthor,39,0,coauthor:creative:ae05e585f42146a283168fdee429ddea,0,dd08a16d30ac4b23b3fb7a93f71368b8b4d5054d71be10b35d5133b2359c8441,eb8ecff8ea5201b6537dd5ed560fd1525454e7df7648c862eb393a19dfbc1a45
040_coauthor_repeat_after_k_k11_t3,40,10,repeat_after_k,11,3,2,65,36,1959,1408654651,coauthor,40,0,coauthor:creative:0fe679b3bb1a472bb1d375c1c58e3687,0,47c332506f59b497e3372e1eee63d84c3dd8a9b924f5f517e0fc1bdd494945b1,4d29bbd6b2060cb816debc6587371057e40e2f8ca96354dd8f49b71ffffcee01
041_coauthor_repeat_after_k_k12_t3,41,11,repeat_after_k,12,3,2,65,39,2078,58019007,coauthor,41,0,coauthor:creative:05a000131fc642f7bb20b62bb20a326e,0,4aa7b939c5f0b1f4bee92c5bcabd6a5c610a64366833c806bacc9d7e991775fc,9b01ae984d66ebd06f7ae655cdeace7726003708395b207d236c875d7d6803ca
042_coauthor_repeat_after_k_k13_t3,42,12,repeat_after_k,13,3,2,65,42,2191,1231373916,coauthor,42,0,coauthor:creative:9c8cd9880da74366ba28673147d87d34,0,8ee69f36dd6c8f161e89e8b81bcf975d2d440254f76105a74b49b1bf0b3869ca,26232647844551749c2d3b8f286ff3decc51edeba10686137d40f305b9e039ef
043_coauthor_repeat_after_k_k14_t3,43,13,repeat_after_k,14,3,2,65,45,2298,433656339,coauthor,43,0,coauthor:creative:92108d50d38647278d97f96a4364e9b1,0,b22ba798d9ff485903cc8fb6b495f6027aa7212a01257c79680f400bc6d17835,c4377217caab07ee74e393686491e8fc787f9052ab8fb74533292d8a23ae298e
044_coauthor_repeat_after_k_k15_t3,44,14,repeat_after_k,15,3,2,65,48,2399,1567105984,coauthor,44,0,coauthor:creative:642f60be7fc54530a6b80ad4bd7fb6d9,0,f030361e8c1eb59fa83253187bc1be6d4312f383dab30e33f7c7844427cb624b,c4c360d0bc4481aa69c61c2932fed280d81ab1514fb7797b1408f3f8fba7a5e0
045_coauthor_any_token_at_least_k_k3_t1,45,0,any_token_at_least_k,3,1,2,65,5,370,1291260604,coauthor,45,0,coauthor:creative:a60c272551c6418a845424432fc4cc72,0,a1df308e7538ace0de02a24d3177c5ee50abd86cbffdd220357eb78cc4877977,9cf241fc1614a49c4b14b94124f7ec96aaca5cae5de44343ad40635991ce26b9
046_coauthor_any_token_at_least_k_k3_t2,46,1,any_token_at_least_k,3,2,2,65,9,555,157253,coauthor,46,0,coauthor:creative:696c87b7fe7f4f869e84d30e9bd97823,0,baf7ecf105689282c3f7886dc3c11e746809d6f98f8571bf038f95e93b48d16c,73b272c9cd0121678d8dfdc1bac5b53055df8ac1246c2a1075c6e0a540094053
047_coauthor_any_token_at_least_k_k3_t3,47,2,any_token_at_least_k,3,3,2,65,12,740,1560797135,coauthor,47,0,coauthor:creative:9747a45190cc48ae8634b5070735c11b,0,5d1488cf12480cc9f3317e41b69c391161493450e128407708659a79e3a85636,6b9f37f245813751efc3f1f03773807842293c58ff5928b3175d9e07e91413f0
048_coauthor_any_token_at_least_k_k3_t4,48,3,any_token_at_least_k,3,4,2,65,15,925,1342984904,coauthor,48,0,coauthor:creative:1055a72721454912a8a38ea009d84a09,0,1eb5d48a4727b7d64844b7812e0366a5631eaff71ec0adfb89b11e6613095146,206abfe41603916dbc15475aff60b75a827e15b853a047ade3bc311282f7c4fa
049_coauthor_any_token_at_least_k_k3_t5,49,4,any_token_at_least_k,3,5,2,65,18,1110,1318100432,coauthor,49,0,coauthor:creative:73e1236fcc4f48d3ba4d264eb6ffe06e,0,e25e1d766f79504f4f6bdbadcedb92ee5a5309722d712213470fecaab662e70f,3c0554ad54cb28c09badc2cb40f85bd68ca430c96b68ad0bad9ebc7360789cfb
050_coauthor_any_token_at_least_k_k3_t6,50,5,any_token_at_least_k,3,6,2,65,21,1295,1821058608,coauthor,50,0,coauthor:creative:f326178e52c34b5b97911cbe8f9c58ba,0,05e4d08aeeb83ce69f11a6dd05e4dec7ef3a0906783e6712ed40c14cd4b87fc9,1b37c4647639d15acbe36355932f769fb4ff3c5a3ef1e3b3918a7008d45e3c8d
051_coauthor_any_token_at_least_k_k3_t7,51,6,any_token_at_least_k,3,7,2,65,24,1480,103343638,coauthor,51,0,coauthor:creative:8ead784ec05844608febc56ca283a595,0,f3f7db82de5cbe058ab4675be2b4e9e5f58793f62943bc6c076ee4a234019b8b,dd39ce56a4c5860c6ff96993d53c5c3e1489c9b05a1f4c0e81150da353781270
052_coauthor_any_token_at_least_k_k3_t8,52,7,any_token_at_least_k,3,8,2,65,27,1665,1558412509,coauthor,52,0,coauthor:creative:455d43b4c912498eac41138c743501aa,0,97ae1944ba41f375d329fe7a4e02d71f200313e3b0e3cce3ff0cafade1c4b585,43d7c808a408530b84f50062b03fb5712a34489ef6b1791188fae589cb09be1f
053_coauthor_any_token_at_least_k_k3_t9,53,8,any_token_at_least_k,3,9,2,65,30,1850,1852871808,coauthor,53,0,coauthor:creative:8d732ed8f2cc4bb393aab9f68c82e408,0,a13722f8365c2dc659683134d6e1272388cfba32c935aed81a2c5f057a6cdb70,00bfe61a62ef524b90937804f84c44eb7bce76b84a67b251cc812668445dd185
054_coauthor_any_token_at_least_k_k3_t10,54,9,any_token_at_least_k,3,10,2,65,33,2035,100592660,coauthor,54,0,coauthor:creative:7000c2b9328448a5b47432e3576c6b46,0,b37fd8937a9371e90a1d48e2c49757bf25ca0956b03aaa67e63eac8f136ede27,e4e88bd05226425dcbcfe45f8ced908eac2f72b72ed25bc3971f166eed5c3481
055_coauthor_any_token_at_least_k_k3_t11,55,10,any_token_at_least_k,3,11,2,65,36,2220,521157099,coauthor,55,0,coauthor:creative:f3fd58f51d4a406ba6151b630e18dbac,0,400dbf5eaffa81ffc6b1266c35d7233e5a7e59884f71dab54da9a9351def021b,0e5ec6687d83d2fa3c2a3a9e3dc18d0d043ff86e556edaa8d4cfc60f5d093251
056_coauthor_any_token_at_least_k_k3_t12,56,11,any_token_at_least_k,3,12,2,65,39,2405,1364215582,coauthor,56,0,coauthor:creative:ecb544fef0ec41789b0ca6ce942d2344,0,67f62292192775ade9df389d2fc56d73fe96d9483f554635dccb7837783abb73,95b68b69af12c142dfb548bf9feaf109eb91f9bb9cd9b1f7cec8d3dfca6119da
057_coauthor_any_token_at_least_k_k3_t13,57,12,any_token_at_least_k,3,13,2,65,42,2590,1482609388,coauthor,57,0,coauthor:creative:eb052c37796c4ae3b8b5c77c800684c6,0,d0bb87565798167d69ff5380348f0f73d1a1db6edf7ba20d7cb0f69f6f0d7b3e,592147545389264448d61e1a53c436b453f2060d9bb4c4c08d9ad04c366622b5
058_coauthor_any_token_at_least_k_k3_t14,58,13,any_token_at_least_k,3,14,2,65,45,2775,2093813981,coauthor,58,0,coauthor:creative:17aac7590a114243a031617242747722,0,7253fc1bcd8d4b4a65c4269a6da8e659164dc71ead9176bc995bb354f598d98b,8203e8a6a3413dabd1e84139b587c1ded2bb77f923395957da380c5758b4b769
059_coauthor_any_token_at_least_k_k3_t15,59,14,any_token_at_least_k,3,15,2,65,48,2960,1304479038,coauthor,59,0,coauthor:creative:00d39011efcb4533ab12076801f74f42,0,f962a14adcb4c643682fd235159ceaa768ec4d59fcf5f63adafe2e295696c0ec,46f7b517fa4dd94137437aa9087827c9a0fdcfdb6dd49095824e2f965850568b
060_coauthor_exactly_once_kna_t1,60,0,exactly_once,,1,2,65,3,254,1874497828,coauthor,60,0,coauthor:creative:6363bd9d985e41f79f3bfb8e04fa3b5e,0,c4dee4abc2d7cb5e7c414be5f0f88c67f0221fe0ecff34230b791b4ab6d9693d,133822a76c1beff621a13799cea3b4daa5933b9702c8b41405fdf4989484bd94
061_coauthor_exactly_once_kna_t2,61,1,exactly_once,,2,2,65,6,381,185568164,coauthor,61,0,coauthor:creative:c4e852c4b21b4703a485d93b618361cd,0,491b0814aa638bd0053e3d045ee9d5d84ca46e037debc95ab41ce4e5f6bb8fba,bdc35d34762540d6981ccc36888d26f9681b3338639459005f12a3dda49375ac
062_coauthor_exactly_once_kna_t3,62,2,exactly_once,,3,2,65,8,508,1068772921,coauthor,62,0,coauthor:creative:75892ecb92b4437882d1565f6169d5a5,0,9ee96eb8a01f060afafad57c036f80c15c7aafc480e0470b9ee3c214d793e16b,496c77f9fa9954c25358de72d4acffdbcef468149e230186a2cd5debf2ce485b
063_coauthor_exactly_once_kna_t4,63,3,exactly_once,,4,2,65,10,635,1831884200,coauthor,63,0,coauthor:creative:7b827c9dbe9547fbae0a89de75863527,0,8d5507bab2fb10feea8e0d3b42cdd4f0f3531c965ca9ff390075a8ccb1f12544,d9b8de21c8907b9698f6b6dd2ae25fdd1bc20432b07cc5c09d0cc9e82ce253ed
064_coauthor_exactly_once_kna_t5,64,4,exactly_once,,5,2,65,12,762,315592073,coauthor,64,0,coauthor:creative:e4611bd31b794677b02c52d5700b2e38,0,605e117c61d4850c9e01a77ffd43dfec6f0e95e920836855f74ef45b1ae278fc,61e6efcf7ffa8fa9c16f9572e91a96f54a7ac06475482259c5d04671da0d578f
065_coauthor_exactly_once_kna_t6,65,5,exactly_once,,6,2,65,14,889,490584065,coauthor,65,0,coauthor:creative:745644f53bdc47409855cc751518e25b,0,fe232c764c6caae9323f3350ef167a0b6e3e8311f7cfbe87972ad856da0fe507,e768c8a6603af141460e94f343049afcac98d459984735040c12c159de68b047
066_coauthor_exactly_once_kna_t7,66,6,exactly_once,,7,2,65,16,1016,174415837,coauthor,66,0,coauthor:creative:e5c079dbe9104da4ae1d7b8f7cd3be3d,0,9f1b0d23ff21d371ea81034b55b58b0cf606711da0cc5bfbbad7fb8bfa4a3d5e,32a19923b31012b5995b5ba56ef3d6eb73a1805b7ccdf40764ced5c2e41510c1
067_coauthor_exactly_once_kna_t8,67,7,exactly_once,,8,2,65,18,1143,1805339212,coauthor,67,0,coauthor:creative:174bb16d13624281abe2a1bc7e2a7050,0,27eb7085beee615eeed0566e5457fc8c7f8529214ba353a336c557a47e3d2636,81b82fdef7e542ea4ccac8dc391769827d403c2f550684efc89c6f8a35bb5261
068_coauthor_exactly_once_kna_t9,68,8,exactly_once,,9,2,65,20,1270,1261316448,coauthor,68,0,coauthor:creative:7b7b1b40027c4974ade1850596e6726f,0,c75eb9017c92c794ec133585680f415f2cf3673456f1de4f91cfeb371e75fef9,6bdc2c46c29a59c56c14034d5bf95f78021fcbbc6051736aacd6b8fecebaeec0
069_coauthor_exactly_once_kna_t10,69,9,exactly_once,,10,2,65,22,1397,672765597,coauthor,69,0,coauthor:creative:c72d65250b4f4c1193e2f089afe9429c,0,0cfb0a9b4d90deaeed9944d2ca252805b62db9267e5a14a53d4e6707da08d44f,3397d01c7d1c6ef5aa879e7619afce3572a501371142281cd7913b4e034df0c3
070_coauthor_exactly_once_kna_t11,70,10,exactly_once,,11,2,65,24,1524,1210095565,coauthor,70,0,coauthor:creative:6840e511d899433ea125410c709f6ed5,0,17595b12834ed2f86de988999f64d368da58b1da057721d21af7d248925c8cd6,1e9b249c1c8935ac4f1ee103dee5281e37d7c3c46019d50447c0427a57db10c6
071_coauthor_exactly_once_kna_t12,71,11,exactly_once,,12,2,65,26,1651,910864414,coauthor,71,0,coauthor:creative:5c1905e6a05c4203b624c4db10ede78a,0,6c4bb2163cb62ae029f973cd80f8d1f644c3229f0cf2ad1c3a10fc3267103ee0,a7c8f6760c431dcbe3b85ed81d39a3f5136e7e138a2ee2e365ae5975e0dde1e3
072_coauthor_exactly_once_kna_t13,72,12,exactly_once,,13,2,65,28,1778,1973036822,coauthor,72,0,coauthor:creative:36eead66360847afba6dc9ebf6d99593,0,6525909838c6a40bb1b1019b4d6a79ba732d8bf17a26b291b8100af91c3e32dd,d224b86739187b9c0b92c41eb2b46f00a716f83441f2899d529d41b5cb38e0f3
073_coauthor_exactly_once_kna_t14,73,13,exactly_once,,14,2,65,30,1905,1793892946,coauthor,73,0,coauthor:creative:5221640d7c074d4a88f42e3891135350,0,b38f575034e198ca512997ef4fba6347bcc04cac127662d7a60a12152f469434,b895bb43ed2a3131e46a7a472dd8a4d710af29bd7a001ee65fab360a00764d92
074_coauthor_exactly_once_kna_t15,74,14,exactly_once,,15,2,65,32,2032,1389738162,coauthor,74,0,coauthor:creative:734cbb77f63544e5bce5a23f35c9f601,0,9b8a60cb3f50ad56599bbb4201c0bd54b8d55a0c5bd14a752991eb5289fdfea3,5d52775a17b9cfc999d5ce4c31e27e04fe955f1b0a1b64893bca569fc82a40a8
075_coauthor_exactly_once_kna_t16,75,15,exactly_once,,16,2,65,34,2159,1931551124,coauthor,75,0,coauthor:creative:ed0280fb0f114ead8a22516a8309f982,0,2db80732f2eda3b00082714eb2d805ca0bd63f64c42d343add8344c762339570,e9a2a626c1fa1da6ced09327779700ffb1fe959359aee3a984703ba5b017ec16
076_coauthor_exactly_once_kna_t17,76,16,exactly_once,,17,2,65,36,2286,1944905089,coauthor,76,0,coauthor:creative:fbb2199fa78647cbb4eeb94c4bd04d98,0,6744f6462a3ea286c0082e36d959a970e967b56cb3c5ce437649af19b7420bb1,661236489447ec103cfca26a6d5813c416413dc689adc1459dc66137ef2a708e
077_coauthor_exactly_once_kna_t18,77,17,exactly_once,,18,2,65,38,2413,632802817,coauthor,77,0,coauthor:creative:64e545e776c1466687f0fe0dc8bb0d88,0,7ae4b114dff1b7a0ea3a2d5563f2db726d26a24adaa59c1a16c0ee44d45c65e3,c6358f672102c5d914d59b6e9f5d237669df51747c739bfbf6d34ec42dcabdcb
078_coauthor_exactly_once_kna_t19,78,18,exactly_once,,19,2,65,40,2540,49678858,coauthor,78,0,coauthor:creative:ccbcf12b87b04596848a5091118c49d9,0,59249c84f2af18bcb742637b3a505f50f284c2a8087e9d88289ad2090737f1bb,089771b39c0c29a42285406d7d678baf4700ce6663ea07f24c440d06f6f42d86
